"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 10:45:17 GMT 2025","Tue Oct 28 10:45:23 GMT 2025","5595","tests","test_customer_account","TestCustomerAccount","","","Change account details",""
"passed","Tue Oct 28 10:45:13 GMT 2025","Tue Oct 28 10:45:17 GMT 2025","3656","tests","test_customer_account","TestCustomerAccount","","","Test Login",""
